name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Magnemite,25,35,70,45,95,55,325
Magneton,50,60,95,70,120,70,465
Forretress,75,90,140,40,60,60,465
Steelix,75,125,230,30,55,95,610
Scizor,70,150,140,75,65,100,600
Skarmory,65,80,140,70,40,70,465
Mawile,50,105,125,50,55,95,480
Aron,50,70,100,30,40,40,330
Lairon,60,90,140,40,50,50,430
Aggron,70,140,230,50,60,80,630
Beldum,40,55,80,30,35,60,300
Metang,60,75,100,50,55,80,420
Metagross,80,145,150,110,105,110,700
Registeel,80,75,150,50,75,150,580
Jirachi,100,100,100,100,100,100,600
Empoleon,84,86,88,60,111,101,530
Shieldon,30,42,118,30,42,88,350
Bastiodon,60,52,168,30,47,138,495
Bronzor,57,24,86,23,24,86,300
Bronzong,67,89,116,33,79,116,500
Lucario,70,145,88,112,140,70,625
Magnezone,70,70,115,60,130,90,535
Probopass,60,55,145,40,75,150,525
Dialga,100,120,120,90,150,100,680
Heatran,91,90,106,77,130,106,600
Excadrill,110,135,60,88,50,65,508
Escavalier,70,135,105,20,60,105,495
Ferroseed,44,50,91,10,24,86,305
Ferrothorn,74,94,131,20,54,116,489
Klink,40,55,70,30,45,60,300
Klang,60,80,95,50,70,85,440
Klinklang,60,100,115,90,70,85,520
Pawniard,45,85,70,60,40,40,340
Bisharp,65,125,100,70,60,70,490
Durant,58,109,112,109,48,48,484
Cobalion,91,90,129,108,90,72,580
Genesect,71,120,95,99,120,95,600
Honedge,45,80,100,28,35,37,325
Doublade,59,110,150,35,45,49,448
Aegislash,60,150,50,60,150,50,520
Klefki,57,80,91,75,80,87,470
Togedemaru,65,98,63,96,40,73,435
Solgaleo,137,137,107,97,113,89,680
Celesteela,97,101,103,61,107,101,570
Kartana,59,181,131,109,59,31,570
Magearna,80,95,115,65,130,115,600
