Dataset,Sampler,Classifier,AUPRC_mean,AUPRC_std,Accuracy_mean,Accuracy_std,AUC_mean,AUC_std,F1_mean,F1_std
spectrometer,None,KNN,0.6992471443406023,0.0,0.9719626168224298,1.1102230246251565e-16,0.9387755102040816,0.0,0.8235294117647058,0.0
spectrometer,None,RF,0.7204569055036345,0.0,0.9719626168224298,1.1102230246251565e-16,0.9183673469387756,1.1102230246251565e-16,0.8421052631578947,0.0
spectrometer,None,LR,0.6558104408571698,0.0,0.9626168224299064,1.1102230246251565e-16,0.9693877551020409,1.1102230246251565e-16,0.8,0.0
spectrometer,None,DT,0.42803738317757006,0.0,0.9345794392523364,0.0,0.8129251700680271,0.0,0.631578947368421,0.0
spectrometer,None,SVM,0.6019383869851159,0.0,0.9532710280373833,1.1102230246251565e-16,0.9829931972789117,0.0,0.7619047619047619,0.0
spectrometer,None,GBM,0.7204569055036345,0.0,0.9719626168224298,1.1102230246251565e-16,0.8956916099773243,0.0,0.8421052631578947,0.0
spectrometer,None,XGBoost,0.7204569055036345,0.0,0.9719626168224298,1.1102230246251565e-16,0.945578231292517,0.0,0.8421052631578947,0.0
spectrometer,EasyEnsembleClassifier,EasyEnsembleClassifier,0.38361480024047656,0.0,0.8878504672897196,0.0,0.8883219954648526,0.0,0.5714285714285714,0.0
spectrometer,EditedNearestNeighbours,KNN,0.6992471443406023,0.0,0.9719626168224298,1.1102230246251565e-16,0.9365079365079365,0.0,0.8235294117647058,0.0
spectrometer,EditedNearestNeighbours,RF,0.6558104408571698,0.0,0.9626168224299064,1.1102230246251565e-16,0.9160997732426303,1.1102230246251565e-16,0.8,0.0
spectrometer,EditedNearestNeighbours,LR,0.6558104408571698,0.0,0.9626168224299064,1.1102230246251565e-16,0.9580498866213152,0.0,0.8,0.0
spectrometer,EditedNearestNeighbours,DT,0.5280373831775701,0.0,0.9532710280373833,1.1102230246251565e-16,0.8231292517006802,0.0,0.7058823529411765,0.0
spectrometer,EditedNearestNeighbours,SVM,0.6019383869851159,0.0,0.9532710280373833,1.1102230246251565e-16,0.9818594104308389,0.0,0.7619047619047619,0.0
spectrometer,EditedNearestNeighbours,GBM,0.6558104408571698,0.0,0.9626168224299064,1.1102230246251565e-16,0.8922902494331064,0.0,0.8,0.0
spectrometer,EditedNearestNeighbours,XGBoost,0.7204569055036345,0.0,0.9719626168224298,1.1102230246251565e-16,0.8990929705215418,0.0,0.8421052631578947,0.0
spectrometer,CondensedNearestNeighbour,KNN,0.3211607245875159,0.0,0.8785046728971964,1.1102230246251565e-16,0.9126984126984127,0.0,0.5185185185185185,0.0
spectrometer,CondensedNearestNeighbour,RF,0.21951219512195125,2.7755575615628914e-17,0.7009345794392523,0.0,0.9450113378684808,0.0,0.36,0.0
spectrometer,CondensedNearestNeighbour,LR,0.5563543414010704,0.0,0.9439252336448598,0.0,0.9841269841269842,0.0,0.7272727272727273,0.0
spectrometer,CondensedNearestNeighbour,DT,0.17865796370469267,0.0,0.6728971962616822,0.0,0.7709750566893425,0.0,0.3137254901960784,0.0
spectrometer,CondensedNearestNeighbour,SVM,0.5294117647058824,0.0,0.9252336448598131,0.0,0.9784580498866212,1.1102230246251565e-16,0.6923076923076923,0.0
spectrometer,CondensedNearestNeighbour,GBM,0.19168197672870568,0.0,0.7009345794392523,0.0,0.9580498866213152,0.0,0.3333333333333333,0.0
spectrometer,CondensedNearestNeighbour,XGBoost,0.23873647539610757,0.0,0.7757009345794392,0.0,0.8798185941043084,0.0,0.4,0.0
