Dataset,Sampler,Classifier,AUPRC_mean,AUPRC_std,Accuracy_mean,Accuracy_std,AUC_mean,AUC_std,F1_mean,F1_std
wine_quality,None,KNN,0.1252068394925538,0.0,0.9622448979591838,1.1102230246251565e-16,0.7701269668395861,0.0,0.27450980392156865,0.0
wine_quality,None,RF,0.10574554145982717,0.0,0.9642857142857142,1.1102230246251565e-16,0.8694362443036887,0.0,0.18604651162790697,0.0
wine_quality,None,LR,0.08124595052230735,0.0,0.7775510204081633,0.0,0.7654982660284888,0.0,0.18045112781954886,0.0
wine_quality,None,DT,0.11038369609798182,0.0,0.9448979591836736,1.1102230246251565e-16,0.6338024132297728,0.0,0.2894736842105263,0.0
wine_quality,None,SVM,0.1077321018497489,0.0,0.8530612244897959,0.0,0.8438565819265713,0.0,0.24210526315789474,0.0
wine_quality,None,GBM,0.15314396028681743,0.0,0.9642857142857142,1.1102230246251565e-16,0.8807428849846666,0.0,0.3137254901960784,0.0
wine_quality,None,XGBoost,0.1252068394925538,0.0,0.9622448979591838,1.1102230246251565e-16,0.8571838009801954,0.0,0.27450980392156865,0.0
wine_quality,EasyEnsembleClassifier,EasyEnsembleClassifier,0.10738380700786716,0.0,0.8214285714285714,0.0,0.7643948296122208,0.0,0.2290748898678414,0.0
wine_quality,EditedNearestNeighbours,KNN,0.1626861555432984,0.0,0.9622448979591838,1.1102230246251565e-16,0.7714883494310854,0.0,0.3508771929824561,0.0
wine_quality,EditedNearestNeighbours,RF,0.09544953116381688,0.0,0.963265306122449,0.0,0.8844401134963171,0.0,0.18181818181818182,0.0
wine_quality,EditedNearestNeighbours,LR,0.07786102217044719,0.0,0.7653061224489796,0.0,0.7675331747442035,0.0,0.17266187050359713,0.0
wine_quality,EditedNearestNeighbours,DT,0.09347059852286332,0.0,0.9408163265306122,0.0,0.6186982316356653,0.0,0.2564102564102564,0.0
wine_quality,EditedNearestNeighbours,SVM,0.10936140221854507,0.0,0.8459183673469388,0.0,0.8527413946289875,0.0,0.24120603015075376,0.0
