name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Caterpie,45,30,35,45,20,20,195
Metapod,50,20,55,30,25,25,205
Butterfree,60,45,50,70,90,80,395
Weedle,40,35,30,50,20,20,195
Kakuna,45,25,50,35,25,25,205
Beedrill,65,150,40,145,15,80,495
Paras,35,70,55,25,45,55,285
Parasect,60,95,80,30,60,80,405
Venonat,60,55,50,45,40,55,305
Venomoth,70,65,60,90,90,75,450
Scyther,70,110,80,105,55,80,500
Pinsir,65,155,120,105,65,90,600
Ledyba,40,20,30,55,40,80,265
Ledian,55,35,50,85,55,110,390
Spinarak,40,60,40,30,40,40,250
Ariados,70,90,70,40,60,70,400
Yanma,65,65,45,95,75,45,390
Pineco,50,65,90,15,35,35,290
Forretress,75,90,140,40,60,60,465
Scizor,70,150,140,75,65,100,600
Shuckle,20,10,230,5,10,230,505
Heracross,80,185,115,75,40,105,600
Wurmple,45,45,35,20,20,30,195
Silcoon,50,35,55,15,25,25,205
Beautifly,60,70,50,65,100,50,395
Cascoon,50,35,55,15,25,25,205
Dustox,60,50,70,65,50,90,385
Surskit,40,30,32,65,50,52,269
Masquerain,70,60,62,80,100,82,454
Nincada,31,45,90,40,30,30,266
Ninjask,61,90,45,160,50,50,456
Shedinja,1,90,45,40,30,30,236
Volbeat,65,73,75,85,47,85,430
Illumise,65,47,75,85,73,85,430
Anorith,45,95,50,75,40,50,355
Armaldo,75,125,100,45,70,80,495
Kricketot,37,25,41,25,25,41,194
Kricketune,77,85,51,65,55,51,384
Burmy,40,29,45,36,29,45,224
Wormadam,60,69,95,36,69,95,424
Mothim,70,94,50,66,94,50,424
Combee,30,30,42,70,30,42,244
Vespiquen,70,80,102,40,80,102,474
Skorupi,40,50,90,65,30,55,330
Yanmega,86,76,86,95,116,56,515
Sewaddle,45,53,70,42,40,60,310
Swadloon,55,63,90,42,50,80,380
Leavanny,75,103,80,92,70,80,500
Venipede,30,45,59,57,30,39,260
Whirlipede,40,55,99,47,40,79,360
Scolipede,60,100,89,112,55,69,485
Dwebble,50,65,85,55,35,35,325
Crustle,70,105,125,45,65,75,485
Karrablast,50,75,45,60,40,45,315
Escavalier,70,135,105,20,60,105,495
Joltik,50,47,50,65,57,50,319
Galvantula,70,77,60,108,97,60,472
Shelmet,50,40,85,25,40,65,305
Accelgor,80,70,40,145,100,60,495
Durant,58,109,112,109,48,48,484
Larvesta,55,85,55,60,50,55,360
Volcarona,85,60,65,100,135,105,550
Genesect,71,120,95,99,120,95,600
Scatterbug,38,35,40,35,27,25,200
Spewpa,45,22,60,29,27,30,213
Vivillon,80,52,50,89,90,50,411
Grubbin,47,62,45,46,55,45,300
Charjabug,57,82,95,36,55,75,400
Vikavolt,77,70,90,43,145,75,500
Cutiefly,40,45,40,84,55,40,304
Ribombee,60,55,60,124,95,70,464
Dewpider,38,40,52,27,40,72,269
Araquanid,68,70,92,42,50,132,454
Wimpod,25,35,40,80,20,30,230
Golisopod,75,125,140,40,60,90,530
Buzzwole,107,139,139,79,53,53,570
Pheromosa,71,137,37,151,137,37,570
