name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Charmander,39,52,43,65,60,50,309
Charmeleon,58,64,58,80,80,65,405
Charizard,78,104,78,100,159,115,634
Vulpix,38,41,40,65,50,65,299
Ninetales,73,67,75,109,81,100,505
Growlithe,55,70,45,60,70,50,350
Arcanine,90,110,80,95,100,80,555
Ponyta,50,85,55,90,65,65,410
Rapidash,65,100,70,105,80,80,500
Marowak,60,80,110,45,50,80,425
Magmar,65,95,57,93,100,85,495
Flareon,65,130,60,65,95,110,525
Moltres,90,100,90,90,125,85,580
Cyndaquil,39,52,43,65,60,50,309
Quilava,58,64,58,80,80,65,405
Typhlosion,78,84,78,100,109,85,534
Slugma,40,40,40,20,70,40,250
Magcargo,60,50,120,30,90,80,430
Houndour,45,60,30,65,80,50,330
Houndoom,75,90,90,115,140,90,600
Magby,45,75,37,83,70,55,365
Entei,115,115,85,100,90,75,580
Ho-Oh,106,130,90,90,110,154,680
Torchic,45,60,40,45,70,50,310
Combusken,60,85,60,55,85,60,405
Blaziken,80,160,80,100,130,80,630
Numel,60,60,40,35,65,45,305
Camerupt,70,120,100,20,145,105,560
Torkoal,70,85,140,20,85,70,470
Chimchar,44,58,44,61,58,44,309
Monferno,64,78,52,81,78,52,405
Infernape,76,104,71,108,104,71,534
Magmortar,75,95,67,83,125,95,540
Heatran,91,90,106,77,130,106,600
Victini,100,100,100,100,100,100,600
Tepig,65,63,45,45,45,45,308
Pignite,90,93,55,55,70,55,418
Emboar,110,123,65,65,100,65,528
Pansear,50,53,48,64,53,48,316
Simisear,75,98,63,101,98,63,498
Darumaka,70,90,45,50,15,45,315
Darmanitan,105,30,105,55,140,105,540
Litwick,50,30,55,20,65,55,275
Lampent,60,40,60,55,95,60,370
Chandelure,60,55,90,80,145,90,520
Heatmor,85,97,66,65,105,66,484
Larvesta,55,85,55,60,50,55,360
Volcarona,85,60,65,100,135,105,550
Reshiram,100,120,100,90,150,120,680
Fennekin,40,45,40,60,62,60,307
Braixen,59,59,58,73,90,70,409
Delphox,75,69,72,104,114,100,534
Fletchinder,62,73,55,84,56,52,382
Talonflame,78,81,71,126,74,69,499
Litleo,62,50,58,72,73,54,369
Pyroar,86,68,72,106,109,66,507
Volcanion,80,110,120,70,130,90,600
Litten,45,65,40,70,60,40,320
Torracat,65,85,50,90,80,50,420
Incineroar,95,115,90,60,80,90,530
Oricorio,75,70,70,93,98,70,476
Salandit,48,44,40,77,71,40,320
Salazzle,68,64,60,117,111,60,480
Turtonator,60,78,135,36,91,85,485
