name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Charizard,78,104,78,100,159,115,634
Butterfree,60,45,50,70,90,80,395
Pidgey,40,45,40,56,35,35,251
Pidgeotto,63,60,55,71,50,50,349
Pidgeot,83,80,80,121,135,80,579
Spearow,40,60,30,70,31,31,262
Fearow,65,90,65,100,61,61,442
Zubat,40,45,35,55,30,40,245
Golbat,75,80,70,90,65,75,455
Farfetch'd,52,90,55,60,58,62,377
Doduo,35,85,45,75,35,35,310
Dodrio,60,110,70,110,60,60,470
Scyther,70,110,80,105,55,80,500
Gyarados,95,155,109,81,70,130,640
Aerodactyl,80,135,85,150,70,95,615
Articuno,90,85,100,85,95,125,580
Zapdos,90,90,85,100,125,90,580
Moltres,90,100,90,90,125,85,580
Dragonite,91,134,95,80,100,100,600
Hoothoot,60,30,30,50,36,56,262
Noctowl,100,50,50,70,86,96,452
Ledyba,40,20,30,55,40,80,265
Ledian,55,35,50,85,55,110,390
Crobat,85,90,80,130,70,80,535
Togetic,55,40,85,40,80,105,405
Natu,40,50,45,70,70,45,320
Xatu,65,75,70,95,95,70,470
Hoppip,35,35,40,50,35,55,250
Skiploom,55,45,50,80,45,65,340
Jumpluff,75,55,70,110,55,95,460
Yanma,65,65,45,95,75,45,390
Murkrow,60,85,42,91,85,42,405
Gligar,65,75,105,85,35,65,430
Delibird,45,55,45,75,65,45,330
Mantine,85,40,70,70,80,140,485
Skarmory,65,80,140,70,40,70,465
Lugia,106,90,130,110,90,154,680
Ho-Oh,106,130,90,90,110,154,680
Beautifly,60,70,50,65,100,50,395
Taillow,40,55,30,85,30,30,270
Swellow,60,85,60,125,75,50,455
Wingull,40,30,30,85,55,30,270
Pelipper,60,50,100,65,95,70,440
Masquerain,70,60,62,80,100,82,454
Ninjask,61,90,45,160,50,50,456
Swablu,45,40,60,50,40,75,310
Altaria,75,110,110,80,110,105,590
Tropius,99,68,83,51,72,87,460
Salamence,95,145,130,120,120,90,700
Rayquaza,105,180,100,115,180,100,780
Starly,40,55,30,60,30,30,245
Staravia,55,75,50,80,40,40,340
Staraptor,85,120,70,100,50,60,485
Mothim,70,94,50,66,94,50,424
Combee,30,30,42,70,30,42,244
Vespiquen,70,80,102,40,80,102,474
Drifloon,90,50,34,70,60,44,348
Drifblim,150,80,44,80,90,54,498
Honchkrow,100,125,52,71,105,52,505
Chatot,76,65,45,91,92,42,411
Mantyke,45,20,50,50,60,120,345
Togekiss,85,50,95,80,120,115,545
Yanmega,86,76,86,95,116,56,515
Gliscor,75,95,125,95,45,75,510
Pidove,50,55,50,43,36,30,264
Tranquill,62,77,62,65,50,42,358
Unfezant,80,115,80,93,65,55,488
Woobat,65,45,43,72,55,43,323
Swoobat,67,57,55,114,77,55,425
Sigilyph,72,58,80,97,103,80,490
Archen,55,112,45,70,74,45,401
Archeops,75,140,65,110,112,65,567
Ducklett,62,44,50,55,44,50,305
Swanna,75,87,63,98,87,63,473
Emolga,55,75,60,103,75,60,428
Rufflet,70,83,50,60,37,50,350
Braviary,100,123,75,80,57,75,510
Vullaby,70,55,75,60,45,65,370
Mandibuzz,110,65,105,80,55,95,510
Tornadus,79,100,80,121,110,90,580
Thundurus,79,105,70,101,145,80,580
Landorus,89,145,90,91,105,80,600
Fletchling,45,50,43,62,40,38,278
Fletchinder,62,73,55,84,56,52,382
Talonflame,78,81,71,126,74,69,499
Vivillon,80,52,50,89,90,50,411
Hawlucha,78,92,75,118,74,63,500
Noibat,40,30,35,55,45,40,245
Noivern,85,70,80,123,97,80,535
Yveltal,126,131,95,99,131,98,680
Rowlet,68,55,55,42,50,50,320
Dartrix,78,75,75,52,70,70,420
Pikipek,35,75,30,65,30,30,265
Trumbeak,55,85,50,75,40,50,355
Toucannon,80,120,75,60,75,75,485
Oricorio,75,70,70,93,98,70,476
Minior,60,100,60,120,100,60,500
Celesteela,97,101,103,61,107,101,570
