name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Bulbasaur,45,49,49,45,65,65,318
Ivysaur,60,62,63,60,80,80,405
Venusaur,80,100,123,80,122,120,625
Oddish,45,50,55,30,75,65,320
Gloom,60,65,70,40,85,75,395
Vileplume,75,80,85,50,110,90,490
Paras,35,70,55,25,45,55,285
Parasect,60,95,80,30,60,80,405
Bellsprout,50,75,35,40,70,30,300
Weepinbell,65,90,50,55,85,45,390
Victreebel,80,105,65,70,100,70,490
Exeggcute,60,40,80,40,60,45,325
Exeggutor,95,105,85,45,125,75,530
Tangela,65,55,115,60,100,40,435
Chikorita,45,49,65,45,49,65,318
Bayleef,60,62,80,60,63,80,405
Meganium,80,82,100,80,83,100,525
Bellossom,75,80,95,50,90,100,490
Hoppip,35,35,40,50,35,55,250
Skiploom,55,45,50,80,45,65,340
Jumpluff,75,55,70,110,55,95,460
Sunkern,30,30,30,30,30,30,180
Sunflora,75,75,55,30,105,85,425
Celebi,100,100,100,100,100,100,600
Treecko,40,45,35,70,65,55,310
Grovyle,50,65,45,95,85,65,405
Sceptile,70,110,75,145,145,85,630
Lotad,40,30,30,30,40,50,220
Lombre,60,50,50,50,60,70,340
Ludicolo,80,70,70,70,90,100,480
Seedot,40,40,50,30,30,30,220
Nuzleaf,70,70,40,60,60,40,340
Shiftry,90,100,60,80,90,60,480
Shroomish,60,40,60,35,40,60,295
Breloom,60,130,80,70,60,60,460
Roselia,50,60,45,65,100,80,400
Cacnea,50,85,40,35,85,40,335
Cacturne,70,115,60,55,115,60,475
Lileep,66,41,77,23,61,87,355
Cradily,86,81,97,43,81,107,495
Tropius,99,68,83,51,72,87,460
Turtwig,55,68,64,31,45,55,318
Grotle,75,89,85,36,55,65,405
Torterra,95,109,105,56,75,85,525
Budew,40,30,35,55,50,70,280
Roserade,60,70,65,90,125,105,515
Wormadam,60,69,95,36,69,95,424
Cherubi,45,35,45,35,62,53,275
Cherrim,70,60,70,85,87,78,450
Carnivine,74,100,72,46,90,72,454
Snover,60,62,50,40,62,60,334
Abomasnow,90,132,105,30,132,105,594
Tangrowth,100,100,125,50,110,50,535
Leafeon,65,110,130,95,60,65,525
Shaymin,100,103,75,127,120,75,600
Snivy,45,45,55,63,45,55,308
Servine,60,60,75,83,60,75,413
Serperior,75,75,95,113,75,95,528
Pansage,50,53,48,64,53,48,316
Simisage,75,98,63,101,98,63,498
Sewaddle,45,53,70,42,40,60,310
Swadloon,55,63,90,42,50,80,380
Leavanny,75,103,80,92,70,80,500
Cottonee,40,27,60,66,37,50,280
Whimsicott,60,67,85,116,77,75,480
Petilil,45,35,50,30,70,50,280
Lilligant,70,60,75,90,110,75,480
Maractus,75,86,67,60,106,67,461
Deerling,60,60,50,75,40,50,335
Sawsbuck,80,100,70,95,60,70,475
Foongus,69,55,45,15,55,55,294
Amoonguss,114,85,70,30,85,80,464
Ferroseed,44,50,91,10,24,86,305
Ferrothorn,74,94,131,20,54,116,489
Virizion,91,90,72,108,90,129,580
Chespin,56,61,65,38,48,45,313
Quilladin,61,78,95,57,56,58,405
Chesnaught,88,107,122,64,74,75,530
Skiddo,66,65,48,52,62,57,350
Gogoat,123,100,62,68,97,81,531
Phantump,43,70,48,38,50,60,309
Trevenant,85,110,76,56,65,82,474
Pumpkaboo,59,66,70,41,44,55,335
Gourgeist,85,100,122,54,58,75,494
Rowlet,68,55,55,42,50,50,320
Dartrix,78,75,75,52,70,70,420
Decidueye,78,107,75,70,100,100,530
Fomantis,40,55,35,35,50,35,250
Lurantis,70,105,90,45,80,90,480
Morelull,40,35,55,15,65,75,285
Shiinotic,60,45,80,30,90,100,405
Bounsweet,42,30,38,32,30,38,210
Steenee,52,40,48,62,40,48,290
Tsareena,72,120,98,72,50,98,510
Dhelmise,70,131,100,40,86,90,517
Tapu Bulu,70,130,115,75,85,95,570
Kartana,59,181,131,109,59,31,570
