name,hp,attack,defense,speed,sp_attack,sp_defense,total_stats
Sandshrew,50,75,90,40,10,35,300
Sandslash,75,100,120,65,25,65,450
Nidoqueen,90,92,87,76,75,85,505
Nidoking,81,102,77,85,85,75,505
Diglett,10,55,30,90,35,45,265
Dugtrio,35,100,60,110,50,70,425
Geodude,40,80,100,20,30,30,300
Graveler,55,95,115,35,45,45,390
Golem,80,120,130,45,55,65,495
Onix,35,45,160,70,30,45,385
Cubone,50,50,95,35,40,50,320
Marowak,60,80,110,45,50,80,425
Rhyhorn,80,85,95,25,30,30,345
Rhydon,105,130,120,40,45,45,485
Wooper,55,45,45,15,25,25,210
Quagsire,95,85,85,35,65,65,430
Gligar,65,75,105,85,35,65,430
Steelix,75,125,230,30,55,95,610
Swinub,50,50,40,50,30,30,250
Piloswine,100,100,80,50,60,60,450
Phanpy,90,60,60,40,40,40,330
Donphan,90,120,120,50,60,60,500
Larvitar,50,64,50,41,45,50,300
Pupitar,70,84,70,51,65,70,410
Marshtomp,70,85,70,50,60,70,405
Swampert,100,150,110,70,95,110,635
Nincada,31,45,90,40,30,30,266
Numel,60,60,40,35,65,45,305
Camerupt,70,120,100,20,145,105,560
Trapinch,45,100,45,10,45,45,290
Vibrava,50,70,50,70,50,50,340
Flygon,80,100,80,100,80,80,520
Barboach,50,48,43,60,46,41,288
Whiscash,110,78,73,60,76,71,468
Baltoy,40,40,55,55,40,70,300
Claydol,60,70,105,75,70,120,500
Groudon,100,180,160,90,150,90,770
Torterra,95,109,105,56,75,85,525
Gastrodon,111,83,68,39,92,82,475
Gible,58,70,45,42,40,45,300
Gabite,68,90,65,82,50,55,410
Garchomp,108,170,115,92,120,95,700
Hippopotas,68,72,78,32,38,42,330
Hippowdon,108,112,118,47,68,72,525
Rhyperior,115,140,130,40,55,55,535
Gliscor,75,95,125,95,45,75,510
Mamoswine,110,130,80,80,70,60,530
Drilbur,60,85,40,68,30,45,328
Excadrill,110,135,60,88,50,65,508
Palpitoad,75,65,55,69,65,55,384
Seismitoad,105,95,75,74,85,75,509
Sandile,50,72,35,65,35,35,292
Krokorok,60,82,45,74,45,45,351
Krookodile,95,117,80,92,65,70,519
Stunfisk,109,66,84,32,81,99,471
Golett,59,74,50,35,35,50,303
Golurk,89,124,80,55,55,80,483
Landorus,89,145,90,91,105,80,600
Diggersby,85,56,77,78,50,77,423
Zygarde,216,100,121,85,91,95,708
Mudbray,70,100,70,45,45,55,385
Mudsdale,100,125,100,35,55,85,500
Sandygast,55,55,80,15,70,45,320
Palossand,85,75,110,35,100,75,480
